Destination Airport,Latitude (generated),Longitude (generated),count of airline
TYS,35.811,-83.994,1
TVC,44.7414,-85.5822,1
TUS,32.1161,-110.941,2
TUL,36.1984,-95.8881,1
TPA,27.9755,-82.5332,3
TOL,41.5868,-83.8078,1
SYR,43.1112,-76.1063,1
STT,18.3373,-64.9734,1
STL,38.7487,-90.37,1
SRQ,27.3954,-82.5544,1
SPI,39.8441,-89.6779,1
SNA,33.6757,-117.868,2
SLC,40.7884,-111.978,3
SJU,18.4394,-66.0018,2
SJC,37.3626,-121.929,1
SGF,37.2457,-93.3886,1
SFO,37.619,-122.375,3
SEA,47.449,-122.309,3
SDF,38.1744,-85.736,2
SAT,29.5337,-98.4698,2
SAN,32.7336,-117.19,3
RSW,26.5362,-81.7552,3
RST,43.9083,-92.5,1
ROC,43.1189,-77.6724,1
RIC,37.5052,-77.3197,2
RDU,35.8776,-78.7875,1
PNS,30.4734,-87.1866,1
PIT,40.4915,-80.2329,1
PIA,40.6642,-89.6933,2
PHX,33.4343,-112.012,3
PHL,39.8719,-75.2411,2
PDX,45.5887,-122.598,1
PBI,26.6832,-80.0956,1
OMA,41.3032,-95.8941,2
OKC,35.3931,-97.6007,1
OGG,20.8986,-156.43,1
MSY,29.9934,-90.258,2
MSP,44.882,-93.2218,3
MSN,43.1399,-89.3375,2
MLI,41.4485,-90.5075,2
MKE,42.9472,-87.8966,1
MIA,25.7932,-80.2906,2
MEM,35.0424,-89.9767,1
MDT,40.1935,-76.7634,1
MCO,28.4294,-81.309,4
MCI,39.2976,-94.7139,1
MBS,43.5329,-84.0796,1
LSE,43.879,-91.2567,1
LIT,34.7294,-92.2243,1
LGA,40.7772,-73.8726,2
LAX,33.9425,-118.408,3
LAS,36.0801,-115.152,4
JFK,40.6398,-73.7789,1
JAX,30.4941,-81.6879,1
JAN,32.3112,-90.0759,1
JAC,43.6073,-110.738,1
IND,39.7173,-86.2944,2
ICT,37.6499,-97.4331,1
IAH,29.9844,-95.3414,2
IAD,38.9445,-77.4558,1
HPN,41.067,-73.7076,1
HNL,21.3187,-157.922,1
GRR,42.8808,-85.5228,1
GRB,44.4851,-88.1296,2
GJT,39.1224,-108.527,1
FWA,40.9785,-85.1951,1
FSD,43.582,-96.7419,2
FNT,42.9654,-83.7436,1
FLL,26.0726,-80.1527,2
FAR,46.9207,-96.8158,1
EWR,40.6925,-74.1687,1
EVV,38.037,-87.5324,1
ELP,31.8072,-106.378,1
EGE,39.6426,-106.918,1
DTW,42.2124,-83.3534,1
DSM,41.534,-93.6631,2
DFW,32.8968,-97.038,3
DEN,39.8617,-104.673,2
DCA,38.8521,-77.0377,2
DBQ,42.402,-90.7095,1
DAY,39.9024,-84.2194,1
CVG,39.0488,-84.6678,2
CMX,47.1684,-88.4891,1
CMI,40.0392,-88.2781,1
CMH,39.998,-82.8919,1
CLT,35.214,-80.9431,1
CLE,41.4117,-81.8498,1
CID,41.8847,-91.7108,2
CHO,38.1386,-78.4529,1
BWI,39.1754,-76.6683,1
BUF,42.9405,-78.7322,1
BTV,44.4719,-73.1533,1
BOS,42.3643,-71.0052,2
BNA,36.1245,-86.6782,2
BMI,40.4771,-88.9159,1
AVP,41.3385,-75.7234,1
AUS,30.1945,-97.6699,1
ATL,33.6367,-84.4281,1
ASE,39.2232,-106.869,2
ANC,61.1744,-149.996,1
ABQ,35.0402,-106.609,1
